question	answer
 A pequena gleba rural explorada por contrato de arrendamento, comodato ou parcer ia goza de imunidade  do ITR?  	 Não. A pequena gleba rural, quando explorada por contrato de arrendamento, comodato ou parceria, perde  a imunidade do ITR, sujeitando -se à apuração do imposto.   (IN SRF n º 256, de 2002, art. 2 º, § 3º)    Atenção:   Os imóveis pertencentes às entidades indicadas no art. 150, inciso VI, alínea “c”, da CF/1988 ,  explorado s por contrato de arrendamento , mantêm a imunidade ao ITR , desde que a receita assim  obtida seja aplicada nas atividades essenciais da entidade.     [Súmula  Vinculante  Carf nº 70 (Aprovada pela Portaria MF n º 277, de 7  de junho de 2018 )]  ASSENTAMENTO RURAL  
 Quais são os requisitos para que o imóvel de um assentado seja imune do ITR?  	 O imóvel de um assentado é imune do ITR quando, cumulativamente:   I - a titulação definitiva do imóvel rural for feita individualmente, ou seja, cada assentado tenha um título de  domínio ou de concessão de direito real de uso;   II - o imóvel do assentado for enquadrado como uma pequena gleba rural;   III - a exploração do imóvel for realizada pelo as sentado;   IV - o assentado não possua qualquer outro imóvel, rural ou urbano; e   V - não houver arrendamento, comodato ou parceria.   (Instrução Normativa Incra n º 99, de 201 9, art. 4 º) 
 Quais as condições exigidas para reconhecimento de imunidade para os imóveis rurais das instituições  de educação e de assistência social, sem fins lucrativos?  	 Para o gozo da imunidade, as instituições de educação e de assistência social devem prestar os serviços  para os quais houverem sido instituídas  e os colocar à disposição da população em geral, em caráter  complementar às atividades do Estado, sem fins lucrativos, e atender aos seguintes requisitos:   I - não distribuir qualquer parcela de seu patrimônio ou de suas rendas, a qualquer título;      II - aplicar integralmente, no País, seus recursos na manutenção e desenvolvimento dos seus objetivos  institucionais;   III - não remunerar, por qualquer forma, seus  dirigentes pelos serviços prestados , exceto no caso de  associações, fundações ou organizações da sociedade civil, sem fins lucrativos, cujos dirigentes poderão  ser remunerados, desde que atuem efetivamente na gestão executiva e desde que cumpridos os requ isitos  previstos nos arts. 3 º e 16 da Lei n º 9.790, de 23 de março de 1999, respeitados como limites máximos os  valores praticados pelo mercado na região correspondente à sua área de atuação, devendo seu valor ser  fixado pelo órgão de deliberação superior da entidade, registrado em ata, com comunicação ao Ministério  Público, no caso de fundações ;  IV - manter escrituração completa de suas receitas e despesas em livros revestidos das formalidades que  assegurem a respectiva exatidão;   V - conservar em boa ordem , pelo prazo de cinco anos, contado da data da emissão, os documentos que  comprovem a origem de suas receitas e a efetivação de suas despesas, bem assim a realização de  quaisquer outros atos ou operações que venham a modificar sua situação patrimonial;   VI - apresentar, anualmente, a Escrituração Contábil Fiscal (ECF), em conformidade com o disposto em  ato da Secretaria Especial da Receita Federal do Brasil;   VII - assegurar a destinação de seu patrimônio a outra instituição que atenda às condições para o goz o da  imunidade, no caso de incorporação, fusão, cisão ou de encerramento de suas atividades, ou a órgão  público;   VIII - outros requisitos, estabelecidos em lei específica, relacionados com o funcionamento des sas  entidades.   (Lei n º 5.172, de 25 de outubro de 1966 - Código Tributário Nacional (CTN), art. 14, com a redação  dada pela LC n º 104, de 10 de janeiro de 2001, art. 1 º; Lei n º 9.532, de 10 de dezembro de 1997, art.  12, com a redação dada pela Lei n º 13.204, de 14 de dezembro d e 2015 , art. 4 º; RITR/2002, art. 3 º,  § 2º; IN SRF n º 256, de 2002, art. 2 º, inciso I V, e § 4 º) 
 O que é entidade sem fins lucrativos?  	 Entidade sem fins lucrativos é aquela que não apresenta superávit em suas contas ou, caso o apresente  em determinado exercício, destine o referido resultado, integralmente, à manutenção e ao desenvolvimento  dos seus objetivos sociais.   Consulte a pergunta 016    (Lei n º 9.532, de 1997, art. 12, § 3 º; Lei n º 9.718, de 27 de novembro de 1998, art. 10)   HIPÓTESES  
 Quais as hipóteses de isenção do ITR previstas na legislação?  	 São isentos do ITR, desde que atendidas as condições estabelecidas em lei:   I - o imóvel rural compreendido em programa oficial de reforma agrária, caracterizado pelas autoridades  competentes como assentamento;   II - o conjunto de imóveis rurais de um mesmo proprietário, titular do domínio útil ou possuidor a qualquer  título, cuja área total em cada região observe o respectivo limite da pequena gleba rural; e      III - os imóveis rurais oficialmente  reconhecidos como áreas ocupadas por remanescentes de comunidades  de quilombos que estejam sob a ocupação direta e sejam explorados, individual ou coletivamente, pelos  membros des sas comunidades.     (Lei n º 9.393, de 1996, arts. 3 º e 3º-A, caput ; RITR/2002,  art. 4 º; IN SRF n º 256, de 2002, art. 3 º) 
 Incide ITR sobre as terras ocupadas por remanescentes das comunidades dos quilombos?  	 Os imóveis rurais oficialmente reconhecidos como áreas ocupada s por remanescentes de comunidades  de quilombos que estejam sob a ocupação direta e sejam explorados, individual ou coletivamente, pelos  membros des sas comunidades são isentos do ITR, estando o contribuinte dispensado da apresentação da  DITR.   Ficam dispensados a constituição de créditos da Fazenda Nacional, a inscrição na Dívida Ativa da União  e o ajuizamento da respectiva execução fiscal, e cancelados o lançamento e a inscrição relativos ao ITR  referentes a esses imóveis rurais a partir da data do r egistro do título de domínio previsto no art. 68 do Ato  das Disposições Constitucionais Transitórias.   (CF/1988, art. 153, § 4 º, inciso I I; Lei n º 9.393, de 1996,  art. 3 º-A; RITR/2002 , art. 17; Parecer  PGFN/CAT/N º 896/2013, de 15 de maio de 2013)   REQUISITOS PARA A ISENÇÃO  
 Quais são os requisitos para que um assentamento seja isento do ITR?  	 O assentamento é isento do ITR quando, cumulativamente:   I - a titulação do imóvel rural for em n ome coletivo;   II - a exploração for realizada por associação ou cooperativa de produção;   III - a fração ideal por família assentada não ultrapassar os limites da pequena gleba;   IV - nenhum dos assentados possuir, individual ou coletivamente, qualquer outro  imóvel rural ou urbano; e   V - não houver arrendamento, comodato ou parceria.   (Lei n º 9.393, de 1996, art. 3 º, inciso I ; RITR/2002, art. 4 º, inciso I ; IN SRF n º 256, de 2002, art. 3 º,  inciso I )  ARRENDAMENTO, COMODATO OU PARCERIA  
 O assentamento rural explorado por contrato de arrendamento, comodato ou parceria goza de isenção  do ITR?  	 Não. O imóvel rural compreendido em programa oficial de reforma agrária, caracterizado pel as autoridades  competentes como assentamento, que tenha área explorada por contrato de arrendamento, comodato ou  parceria, perde a isenção, sujeitando -se ao pagamento do ITR.   (IN SRF n º 256, de 2002, art. 3 º, § 1 º)  Retorno ao  sumário      CONJUNTO DE IMÓVEIS RURAIS   REQUISITOS PARA A ISENÇÃO  
 Quais os requisitos para a isenção do ITR de conjunto de imóveis rurais de um mesmo contribuinte?  	 Para a isenção do ITR, o conjunto de todos os imóveis rurais de um mesmo proprietário, tit ular do domínio  útil ou possuidor a qualquer título deve atender, cumulativamente, aos seguintes requisitos:   I - a área total em cada região não pode ultrapassar o respectivo limite da pequena gleba rural;   II - o conjunto de imóveis deve ser explorado pelo  contribuinte só ou com sua família, admitida ajuda  eventual de terceiros;   III - o contribuinte não pode possuir imóvel urbano; e   IV - não pode haver arrendamento, comodato ou parceria.   O limite de pequena gleba rural a ser observado no caso de conjunto de imóveis rurais é o somatório das  áreas dos imóveis rurais por região, isoladamente, não podendo cada somatório ultrapassar o limite da  pequena gleba rural da respectiva região.   (Lei n º 9.393, de 1996, art. 3 º, inciso I I; RITR/2002, art. 4 º, inciso II, e §§ 1 º e 2º; IN SRF n º 256, de  2002, art. 3 º, inciso I I, e §§ 2 º e 3º)  AJUDA EVENTUAL DE TERCEIROS  
 O que se entende por ajuda eventual de terceiros, para fins de i senção do ITR de conjunto de imóveis  rurais de um mesmo contribuinte?  	 Para fins de isenção do ITR de conjunto de imóveis rurais de um mesmo contribuinte, entende -se por ajuda  eventual de terceiros o trabalho, remunerado ou não, de natureza eventual ou temp orária, realizado nas  épocas de maior concentração  de serviços.   (Lei n º 9.393, de 1996, art. 3 º, inciso I I; RITR/2002, art. 4 º, inciso I I, e § 1 º; IN SRF n º 256, de 2002,  art. 3 º, inciso I I, e § 2 º)  ARRENDAMENTO, COMODATO OU PARCERIA  
 O conjunto de imóveis rurais que tenha área explorada por contrato de arrendamento, comodato ou  parceria goza de isenção do ITR?  	 Não. O conjunto de imóveis rurais que tenha área explorada,  em qualquer um dos imóveis rurais, por  contrato de arrendamento, comodato ou parceria perde a isenção do ITR, sujeitando -se ao pagamento do  imposto.   (IN SRF n º 256, de 2002, art. 3 º, § 1 º)  ARRENDAMENTO DE PELO MENOS UM DOS IMÓVEIS  
 O contribuinte que não tem imóvel urbano e tem dois imóveis rurais (não confrontantes), cujas áreas são  de 10 e 20ha, situados em região onde a pequena gleba rural equivale a 30ha, e arrenda u m deles para terceiro,  tem isenção em relação a algum dos imóveis?  	 Não. Ambos serão tributados, pois, embora o somatório das áreas não ultrapasse o limite da pequena  gleba rural, um dos imóveis foi arrendado, o que os descaracterizam para fins de isenção.      (Lei n º 9.393, de 1996, art. 3 º, inciso I I, alínea “ a”; IN SRF n º 256, de 2002, art. 3 º, § 1 º)  MAIS DE UMA REGIÃO I  
 Qual o limite da pequena gleba rural a ser considerado pa ra o conjunto de imóveis rurais de um mesmo  contribuinte, localizados em mais de uma região?  	 Para fins de isenção do conjunto de imóveis rurais de um mesmo contribuinte, localizados em mais de uma  região, a área total dos imóveis em cada região deverá ser igual ou inferior ao limite da pequena gleba  rural estabelecido para a região em que se localizem.   (Lei n º 9.393, de 1996, art. 3 º, inciso I I; RITR/2002, art. 4 º, inciso I I, e § 2 º; IN SRF n º 256, de 2002,  art. 3 º, inciso I I, e § 3 º)  MAIS DE UMA REGIÃO II  
 O contribuinte é titular de dois imóveis rurais: um localizado na Amazônia Ocidental (área de 90,0ha) e  o outro localizado na Amazônia Oriental (área de 45,0ha). Nes sa hipótese, o contribuinte terá que pagar ITR ou  faz jus à isenção?  	 Os imóveis rurais estão localizados em regiões cujo respectivo limite máximo de área para a pequena  gleba rural é diverso: na Amazônia Ocidental é de 100,0 hectares e na Amazô nia Oriental é de 50,0  hectares.   Para fazer jus à isenção, o somatório das áreas dos imóveis deve ser calculado por região, não podendo  suplantar o limite da pequena gleba rural da respectiva região. Nes sa hipótese, tendo em vista que nenhum  dos imóveis su plantou o limite da pequena gleba rural da respectiva região, os dois imóveis fazem jus à  isenção do ITR, desde que atendidas as demais condições previstas na legislação. Cabe observar que  não se trata de hipótese de imunidade, uma vez que o simples fato d e o proprietário ser titular de mais de  um imóvel, independentemente da área de cada um, afasta essa possibilidade.   Consulte as perguntas 022, 223 e 225    (Lei n º 9.393, de 1996, art. 3 º, inciso I I; RITR/2002, art. 4 º, inciso I I, e § 2 º; IN SRF n º 256, de 2002,  art. 3 º, inciso I I, e § 3 º)  MAIS DE UMA REGIÃO III  
 Contribuinte que é proprietário de vários imóveis rurais, cuja soma das áreas não suplanta a pequena  gleba rural, tem , também , a posse por usufruto de outro imóvel rural na mesma região, cuja área suplanta es se  limite, tem isenção de algum dos imóveis?  	 Não. Nesse caso, todos os imóveis são tributados, pois, para fazer jus à isenção, é necessário que o  conjunto de imóveis rurais de um mesmo contribuinte não ultrapasse o limite, por região, de pequena gleba  rural.   Na questão, o contribuinte é proprietário de alguns imóveis e usufrutuário - possuidor a qualquer título - de  outro, situação em que a legislação do ITR prevê a condição de contribuinte para ambas as situações.   (Lei n º 9.393, de 1996, art. 3 º, inciso I I; RITR/2002, art. 4 º, inciso I I, e § 2 º; IN SRF n º 256, de 2002,  art. 3 º, inciso I I, e § 3 º)    QUEM É CONTRIBUINTE  
 Quem é contribuinte do ITR?  	 É contribuinte do ITR aquele que, em relação ao imóvel rural a ser declarado, na data da e fetiva  apresentação da declaração, seja:   a) proprietário;   b) titular do domínio útil (enfiteuta ou foreiro);   c) possuidor a qualquer título, inclusive o usufrutuário.   Também é contribuinte do ITR a pessoa física ou jurídica que, entre 1 º de janeiro do ano a que se referir a  DITR e a data da sua efetiva apresentação, tenha perdido:   a) a posse do imóvel rural, pela imissão prévia ou provisória do expropriante na posse, em processo de  desapropriação, tanto nos casos em que o expropriante sej a pessoa jurídica de direito público, quanto de  direito privado delegatária ou concessionária de serviço público;   b) o direito de propriedade pela transferência ou incorporação do imóvel rural ao patrimônio do  expropriante, em decorrência de desapropriação , tanto nos casos em que o expropriante seja pessoa  jurídica de direito público, quanto de direito privado delegatária ou concessionária de serviço público;   c) a posse ou a propriedade do imóvel rural, em função de alienação ao Poder Público, inclusive às suas  autarquias e fundações, bem assim às instituições de educação e de assistência social imunes do imposto.   Ressalte -se que, no caso de desapropriação de imóvel rural por pessoa jurídica de direito público, deixa  de ocorrer o fato gerador do imposto a pa rtir da sua imissão prévia ou provisória na posse, ou da  transferência definitiva da propriedade em seu favor, tendo em vista que o patrimônio do Poder Público é  imune, não mais sendo cabível, então, falar em contribuinte.   Entretanto, quando a desapropriaç ão é efetivada por pessoa jurídica de direito privado delegatária ou  concessionária de serviço público, continua havendo incidência do imposto após a imissão prévia na posse  ou a transferência definitiva da propriedade em seu favor, sendo contribuinte o ex propriante.   Consulte as perguntas : 033 e 034    (CTN, arts. 31 e 121, parágrafo único , inciso I ; Lei n º 9.393, de 1996, art. 4 º; RITR/2002, art. 5 º; IN  SRF n º 256, de 2002, art. 4 º) 
 O que é direito de propriedade de imóvel rural?  	 O ITR adota o instituto da propriedade tal qual definido pelo Código Civil. É o direito de usar, gozar e dispor  do imóvel e de reavê -lo de quem quer que injustamente o  possua ou o detenha.   (Lei n º 10.406, de 10 de janeiro de 2002 - Código Civil (CC), art. 1.228)  
 Quem é titular do domínio útil?  	 É titular do domínio útil aquele que adquiriu o imóvel rural por enfiteuse ou aforamento , observado o  disposto no art. 2.038 da Lei n º 10.406, de 10 de janeiro de 2002, Código Civil (CC) .     (Lei n º 3.071, de 1 º de janeiro de 1916, art. 678; CC, art. 2.038 ; IN SRF n º 256, de 2002, art. 4 º, § 1 º) 
 Quem é possuidor a qualquer título?  	 O ITR adota o instituto da posse tal qual definido  pelo Código Civil. É possuidor a qualquer título aquele  que tem a posse plena do imóvel rural, sem subordinação ( posse com animus domini ), seja por direito  real de fruição sobre coisa alheia, como ocorre no caso do usufrutuário, seja por ocupação, autorizada ou  não pelo Poder Público.   A expressão posse a qualquer título refere -se à posse plena, sem subordinação (posse com animus  domini ), abrangendo a posse justa (legítima) e a posse injusta (ilegítima). A posse será justa se não for  violen ta, clandestina ou precária; será injusta se for:   I - violenta, ou seja, adquirida pela força física ou coação moral;   II - clandestina, isto é, estabelecida às ocultas daquele que tem interesse em tomar conhecimento;   III - precária, quando decorre do abuso  de confiança por parte de quem recebe a coisa, a título provisório,  com o dever de restituí -la.  (CC, arts. 1.196, 1.390, 1.394, 1.403, inciso II, 1.412 e 1.414; IN SRF n º 256, de 2002, art. 4 º, § 2 º)    Atenção:   Coexistindo titular do domínio e possuidor co m animus domini , pode a autoridade administrativa,  para eleger o sujeito passivo, optar por um deles, com vistas a facilitar o procedimento de  arrecadação .  (SC Cosit n º 93, de 14 de junho de 2016.)   POR PESSOA JURÍDICA DE DIREITO PRIVADO  
